fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220910 194946	-0.0800073568001108	903.270724248706	13.529856844793	6	5	20800000	27
20220910 195000	-0.369134647368669	795.325761065575	371.399497731847	7	5	20706666.6666667	28
20220910 195025	-0.997878330660891	1440.6929028349	1.93452288470549	17	5	19693333.3333333	29
20220910 195049	-0.349030052315435	4354.32467193626	35.7420787394741	20	5	19106666.6666667	30
20220910 195107	-0.595049775753202	2201.23849405362	998.757770382806	20	5	18400000	31
20220910 195127	-0.808381969381494	975.078947011851	1.54524437958652	13	5	20960000	32
20220910 195141	-0.750647995761492	1503.85770377873	432.037226143723	8	5	21253333.3333333	33
20220910 195152	-0.403883324227794	1866.16490761756	929.812026830443	5	5	18906666.6666667	34
20220910 195208	-0.958260348350691	3975.04352065616	187.986142789104	10	5	19266666.6666667	35
20220910 195225	-0.999816958471218	2782.89483488282	254.414163892782	13	5	20080000	36
20220910 195241	-0.890730901587157	2539.98894395462	969.654951010856	11	5	19413333.3333333	37
20220910 195256	-0.312705023348005	998.879355482991	5.16663453528038	9	5	21080000	38
20220910 195304	-0.408883665015037	947.135560258557	1.52514779210689	3	5	17760000	39
20220910 195317	-0.386002734853511	1544.87930735115	2.05990918284804	8	5	20560000	40
20220910 195335	-0.788722156638055	1294.24998317747	644.090290911532	16	5	19466666.6666667	41
20220910 195351	-0.33494747530508	4999.768893651	753.538905528266	20	5	18920000	42
20220910 195402	-0.291461107779433	1199.23087216457	2.77282090551341	6	5	20080000	43
20220910 195415	-0.378425141308133	1094.55769650387	179.7455212233	8	5	21920000	44
20220910 195428	-0.730648935477207	2688.35879746584	83.2386124173118	8	5	20066666.6666667	45
20220910 195439	-0.138088156177687	24.9554751205235	11.4146882101678	6	5	20920000	46
20220910 195454	-0.99988806442502	3668.60515742287	999.729699012068	20	5	19133333.3333333	47
20220910 195507	-0.717840167074033	842.448757338807	94.8057061636207	7	5	21840000	48
20220910 195527	-0.910152691019564	2345.03017902701	314.240919709737	20	5	20280000	49
20220910 195538	-0.356855693819794	4062.69415124627	999.665399542957	7	5	19146666.6666667	50
20220910 195550	-0.172613817544828	802.260811069837	120.047144721733	7	5	21853333.3333333	51
20220910 195604	-0.999820151824054	680.401263220623	323.309923330554	10	5	20413333.3333333	52
20220910 195617	-0.862486302429481	1898.90443251269	219.482918650487	10	5	20746666.6666667	53
20220910 195624	-0.999983719612981	4997.40166688608	991.590204990232	3	5	17613333.3333333	54
20220910 195640	-0.379557699634666	3425.73104959114	682.868934199058	20	5	1.9e+07	55
20220910 195701	-0.999823992762551	4999.40061674759	15.4082438106964	20	5	16653333.3333333	56
20220910 195716	-0.393936839023196	945.445703024335	37.7618764628358	11	5	21746666.6666667	57
20220910 195732	-0.999725515202762	1065.35436579305	525.309567867986	20	5	19760000	58
20220910 195743	-0.999968662360473	2676.28786944996	532.751144407866	7	5	20346666.6666667	59
20220910 195756	-0.413727649671532	4999.3453209592	132.856144421598	10	5	18960000	60
20220910 195808	-0.680612067741051	1051.13440537425	179.169384483342	8	5	21786666.6666667	61
20220910 195816	0.0995804930820584	299.23304066978	108.025673410231	6	5	-1140000	62
